issue_id,category,severity,task,seed,issue_type,description,suggestion
DQ001,A,warning,balance_v1,seed00,missing_total_steps,total_steps 为空,补全训练步数（或用 eval 末点推算）
DQ002,A,warning,balance_v1,seed01,missing_total_steps,total_steps 为空,补全训练步数（或用 eval 末点推算）
DQ003,A,warning,balance_v1,seed02,missing_total_steps,total_steps 为空,补全训练步数（或用 eval 末点推算）
DQ004,A,warning,full_chain,seed00,missing_total_steps,total_steps 为空,补全训练步数（或用 eval 末点推算）
DQ005,A,warning,full_chain,seed01,missing_total_steps,total_steps 为空,补全训练步数（或用 eval 末点推算）
DQ006,A,warning,full_chain,seed02,missing_total_steps,total_steps 为空,补全训练步数（或用 eval 末点推算）
DQ007,A,warning,full_chain_v1,seed00,missing_total_steps,total_steps 为空,补全训练步数（或用 eval 末点推算）
DQ008,A,warning,traverse,seed02,missing_total_steps,total_steps 为空,补全训练步数（或用 eval 末点推算）
DQ009,A,warning,traverse_curve,seed01,missing_total_steps,total_steps 为空,补全训练步数（或用 eval 末点推算）
DQ010,A,warning,traverse_curve,seed02,missing_total_steps,total_steps 为空,补全训练步数（或用 eval 末点推算）
DQ011,A,warning,traverse_curve_dagger,seed00,missing_total_steps,total_steps 为空,补全训练步数（或用 eval 末点推算）
DQ012,A,warning,traverse_curve_v1,seed00,missing_total_steps,total_steps 为空,补全训练步数（或用 eval 末点推算）
DQ013,A,warning,traverse_curve_v2,seed00,missing_total_steps,total_steps 为空,补全训练步数（或用 eval 末点推算）
DQ014,A,warning,traverse_curve_v3,seed00,missing_total_steps,total_steps 为空,补全训练步数（或用 eval 末点推算）
DQ015,A,warning,traverse_flat_slope,seed01,missing_total_steps,total_steps 为空,补全训练步数（或用 eval 末点推算）
DQ016,A,warning,traverse_flat_slope,seed02,missing_total_steps,total_steps 为空,补全训练步数（或用 eval 末点推算）
DQ017,A,warning,traverse_flat_slope_v1,seed00,missing_total_steps,total_steps 为空,补全训练步数（或用 eval 末点推算）
DQ018,A,warning,traverse_slope,seed01,missing_total_steps,total_steps 为空,补全训练步数（或用 eval 末点推算）
DQ019,A,warning,traverse_slope,seed02,missing_total_steps,total_steps 为空,补全训练步数（或用 eval 末点推算）
DQ020,A,warning,traverse_slope_v1,seed00,missing_total_steps,total_steps 为空,补全训练步数（或用 eval 末点推算）
DQ021,A,warning,traverse_v1,seed00,missing_total_steps,total_steps 为空,补全训练步数（或用 eval 末点推算）
DQ022,A,warning,traverse_v1,seed01,missing_total_steps,total_steps 为空,补全训练步数（或用 eval 末点推算）
DQ023,A,warning,traverse_v1,seed02,missing_total_steps,total_steps 为空,补全训练步数（或用 eval 末点推算）
DQ024,A,warning,full_chain_v1,seed00,insufficient_eval_points,eval 点数仅 4（<10）,已知问题可接受（如 dagger 系列），否则补采数据
DQ025,A,warning,traverse_curve_dagger,seed00,insufficient_eval_points,eval 点数仅 6（<10）,已知问题可接受（如 dagger 系列），否则补采数据
DQ026,A,warning,traverse_curve_dagger_ppo,seed00,insufficient_eval_points,eval 点数仅 4（<10）,已知问题可接受（如 dagger 系列），否则补采数据
DQ027,A,warning,full_chain_v1,seed00,insufficient_tb_points,tb 点数仅 1（<50）,已知问题可接受（如 dagger 系列），否则补采数据
DQ028,A,warning,traverse_curve_dagger_ppo,seed00,insufficient_tb_points,tb 点数仅 27（<50）,已知问题可接受（如 dagger 系列），否则补采数据
DQ029,A,critical,balance_v1,seed00,missing_report,verdict=fail 但 reports.csv 无对应验收行,补充正式验收报告或调整标签来源
DQ030,A,critical,balance_v1,seed01,missing_report,verdict=fail 但 reports.csv 无对应验收行,补充正式验收报告或调整标签来源
DQ031,A,critical,balance_v1,seed02,missing_report,verdict=fail 但 reports.csv 无对应验收行,补充正式验收报告或调整标签来源
DQ032,A,critical,full_chain_v1,seed00,missing_report,verdict=fail 但 reports.csv 无对应验收行,补充正式验收报告或调整标签来源
DQ033,A,critical,traverse_curve_curriculum,s1,missing_report,verdict=fail 但 reports.csv 无对应验收行,补充正式验收报告或调整标签来源
DQ034,A,critical,traverse_curve_curriculum,s2,missing_report,verdict=fail 但 reports.csv 无对应验收行,补充正式验收报告或调整标签来源
DQ035,A,critical,traverse_curve_curriculum,s3,missing_report,verdict=fail 但 reports.csv 无对应验收行,补充正式验收报告或调整标签来源
DQ036,A,critical,traverse_curve_curriculum,s4,missing_report,verdict=fail 但 reports.csv 无对应验收行,补充正式验收报告或调整标签来源
DQ037,A,critical,traverse_curve_v1,seed00,missing_report,verdict=fail 但 reports.csv 无对应验收行,补充正式验收报告或调整标签来源
DQ038,A,critical,traverse_flat_slope_v1,seed00,missing_report,verdict=fail 但 reports.csv 无对应验收行,补充正式验收报告或调整标签来源
DQ039,A,critical,traverse_slope_v1,seed00,missing_report,verdict=fail 但 reports.csv 无对应验收行,补充正式验收报告或调整标签来源
DQ040,A,critical,traverse_v1,seed01,missing_report,verdict=pass 但 reports.csv 无对应验收行,补充正式验收报告或调整标签来源
DQ041,A,critical,traverse_v1,seed02,missing_report,verdict=pass 但 reports.csv 无对应验收行,补充正式验收报告或调整标签来源
DQ042,A,critical,traverse,seed02,missing_eval_data,verdict=fail 但无任何 eval 点（无法验证训练表现）,补充 eval 数据或改为 unknown
DQ043,C,warning,balance,seed00,incomplete_training,末 eval 点 4000000 与 total_steps=8000000 偏差 50%（>20%）,确认是否提前停止/续训（续训 run 以阶段总步数为口径）
DQ044,C,info,full_chain,seed00,missing_early_eval,首个 eval 点 @1950000 步（>200000，前段无 eval）,可能是续训/BC 预热，确认符合预期
DQ045,C,warning,traverse,seed00,incomplete_training,末 eval 点 700000 与 total_steps=8000000 偏差 91%（>20%）,确认是否提前停止/续训（续训 run 以阶段总步数为口径）
DQ046,C,info,traverse_curve_curriculum,s2,missing_early_eval,首个 eval 点 @1200000 步（>200000，前段无 eval）,可能是续训/BC 预热，确认符合预期
DQ047,C,warning,traverse_curve_curriculum,s2,incomplete_training,末 eval 点 2150000 与 total_steps=1000000 偏差 115%（>20%）,确认是否提前停止/续训（续训 run 以阶段总步数为口径）
DQ048,C,info,traverse_curve_curriculum,s3,missing_early_eval,首个 eval 点 @2350000 步（>200000，前段无 eval）,可能是续训/BC 预热，确认符合预期
DQ049,C,warning,traverse_curve_curriculum,s3,incomplete_training,末 eval 点 3300000 与 total_steps=1000000 偏差 230%（>20%）,确认是否提前停止/续训（续训 run 以阶段总步数为口径）
DQ050,C,info,traverse_curve_curriculum,s4,missing_early_eval,首个 eval 点 @3500000 步（>200000，前段无 eval）,可能是续训/BC 预热，确认符合预期
DQ051,C,warning,traverse_curve_curriculum,s4,incomplete_training,末 eval 点 4450000 与 total_steps=1000000 偏差 345%（>20%）,确认是否提前停止/续训（续训 run 以阶段总步数为口径）
DQ052,C,warning,traverse_curve_dagger_ppo,seed00,incomplete_training,末 eval 点 200000 与 total_steps=2000000 偏差 90%（>20%）,确认是否提前停止/续训（续训 run 以阶段总步数为口径）
DQ053,C,info,traverse_flat_slope,seed00,missing_early_eval,首个 eval 点 @750000 步（>200000，前段无 eval）,可能是续训/BC 预热，确认符合预期
DQ054,C,info,traverse_slope,seed00,missing_early_eval,首个 eval 点 @700000 步（>200000，前段无 eval）,可能是续训/BC 预热，确认符合预期
DQ055,C,warning,traverse_slope,seed00,incomplete_training,末 eval 点 8000000 与 total_steps=4000000 偏差 100%（>20%）,确认是否提前停止/续训（续训 run 以阶段总步数为口径）
DQ056,C,info,traverse_slope_v1,seed00,missing_early_eval,首个 eval 点 @1800000 步（>200000，前段无 eval）,可能是续训/BC 预热，确认符合预期
DQ057,E,warning,full_chain_simple,seed00,completed_verdict_mismatch,completed=True 但 verdict=未设置（应为 pass/fail）,验收后补标或改 completed
DQ058,F,warning,balance,seed01,missing_eval_for_run,runs 中有该 run 但 eval_points 无任何点,刚启动可接受，否则补采
DQ059,F,warning,balance,seed02,missing_eval_for_run,runs 中有该 run 但 eval_points 无任何点,刚启动可接受，否则补采
DQ060,F,warning,full_chain,seed01,missing_eval_for_run,runs 中有该 run 但 eval_points 无任何点,刚启动可接受，否则补采
DQ061,F,warning,full_chain,seed02,missing_eval_for_run,runs 中有该 run 但 eval_points 无任何点,刚启动可接受，否则补采
DQ062,F,warning,traverse,seed02,missing_eval_for_run,runs 中有该 run 但 eval_points 无任何点,刚启动可接受，否则补采
DQ063,F,warning,traverse_curve,seed01,missing_eval_for_run,runs 中有该 run 但 eval_points 无任何点,刚启动可接受，否则补采
DQ064,F,warning,traverse_curve,seed02,missing_eval_for_run,runs 中有该 run 但 eval_points 无任何点,刚启动可接受，否则补采
DQ065,F,warning,traverse_flat_slope,seed01,missing_eval_for_run,runs 中有该 run 但 eval_points 无任何点,刚启动可接受，否则补采
DQ066,F,warning,traverse_flat_slope,seed02,missing_eval_for_run,runs 中有该 run 但 eval_points 无任何点,刚启动可接受，否则补采
DQ067,F,warning,traverse_slope,seed01,missing_eval_for_run,runs 中有该 run 但 eval_points 无任何点,刚启动可接受，否则补采
DQ068,F,warning,traverse_slope,seed02,missing_eval_for_run,runs 中有该 run 但 eval_points 无任何点,刚启动可接受，否则补采
DQ069,F,warning,balance,seed00,total_steps_mismatch,total_steps=8000000 与 eval 末点 4000000 偏差 50%（>20%）,确认续训口径（阶段 total_steps vs 累计步数）
DQ070,F,warning,traverse,seed00,total_steps_mismatch,total_steps=8000000 与 eval 末点 700000 偏差 91%（>20%）,确认续训口径（阶段 total_steps vs 累计步数）
DQ071,F,warning,traverse_curve_curriculum,s2,total_steps_mismatch,total_steps=1000000 与 eval 末点 2150000 偏差 115%（>20%）,确认续训口径（阶段 total_steps vs 累计步数）
DQ072,F,warning,traverse_curve_curriculum,s3,total_steps_mismatch,total_steps=1000000 与 eval 末点 3300000 偏差 230%（>20%）,确认续训口径（阶段 total_steps vs 累计步数）
DQ073,F,warning,traverse_curve_curriculum,s4,total_steps_mismatch,total_steps=1000000 与 eval 末点 4450000 偏差 345%（>20%）,确认续训口径（阶段 total_steps vs 累计步数）
DQ074,F,warning,traverse_curve_dagger_ppo,seed00,total_steps_mismatch,total_steps=2000000 与 eval 末点 200000 偏差 90%（>20%）,确认续训口径（阶段 total_steps vs 累计步数）
DQ075,F,warning,traverse_slope,seed00,total_steps_mismatch,total_steps=4000000 与 eval 末点 8000000 偏差 100%（>20%）,确认续训口径（阶段 total_steps vs 累计步数）
DQ076,F,warning,traverse,seed02,report_without_eval,reports.csv 有验收行但 eval_points 无数据,补充 eval 数据
DQ077,F,warning,traverse,seed02,report_without_eval,reports.csv 有验收行但 eval_points 无数据,补充 eval 数据
DQ078,F,warning,traverse,seed02,report_without_eval,reports.csv 有验收行但 eval_points 无数据,补充 eval 数据
DQ079,F,warning,traverse,seed02,report_without_eval,reports.csv 有验收行但 eval_points 无数据,补充 eval 数据
DQ080,F,warning,traverse,seed02,report_without_eval,reports.csv 有验收行但 eval_points 无数据,补充 eval 数据
DQ081,F,warning,traverse_curve_curriculum,seed00,report_without_eval,reports.csv 有验收行但 eval_points 无数据,补充 eval 数据
