task,seed,data_quality,fail_reasons,verdict,eval_point_count,notes
balance,seed01,insufficient,rule1: eval 点数 0 < 10,,0,归档供鲁棒性测试，不删除
balance,seed02,insufficient,rule1: eval 点数 0 < 10,,0,归档供鲁棒性测试，不删除
full_chain,seed01,insufficient,"rule1: eval 点数 0 < 10;rule2: 训练规模 max(last_eval=0, total=None) < 500000",,0,归档供鲁棒性测试，不删除
full_chain,seed02,insufficient,"rule1: eval 点数 0 < 10;rule2: 训练规模 max(last_eval=0, total=None) < 500000",,0,归档供鲁棒性测试，不删除
full_chain_v1,seed00,insufficient,"rule1: eval 点数 4 < 10;rule2: 训练规模 max(last_eval=4000, total=None) < 500000",,4,归档供鲁棒性测试，不删除
traverse,seed02,insufficient,"rule1: eval 点数 0 < 10;rule2: 训练规模 max(last_eval=0, total=None) < 500000",fail,0,归档供鲁棒性测试，不删除
traverse_curve,seed01,insufficient,"rule1: eval 点数 0 < 10;rule2: 训练规模 max(last_eval=0, total=None) < 500000",,0,归档供鲁棒性测试，不删除
traverse_curve,seed02,insufficient,"rule1: eval 点数 0 < 10;rule2: 训练规模 max(last_eval=0, total=None) < 500000",,0,归档供鲁棒性测试，不删除
traverse_flat_slope,seed01,insufficient,"rule1: eval 点数 0 < 10;rule2: 训练规模 max(last_eval=0, total=None) < 500000",,0,归档供鲁棒性测试，不删除
traverse_flat_slope,seed02,insufficient,"rule1: eval 点数 0 < 10;rule2: 训练规模 max(last_eval=0, total=None) < 500000",,0,归档供鲁棒性测试，不删除
traverse_slope,seed01,insufficient,"rule1: eval 点数 0 < 10;rule2: 训练规模 max(last_eval=0, total=None) < 500000",,0,归档供鲁棒性测试，不删除
traverse_slope,seed02,insufficient,"rule1: eval 点数 0 < 10;rule2: 训练规模 max(last_eval=0, total=None) < 500000",,0,归档供鲁棒性测试，不删除
