task,seed,data_quality,fail_reasons,verdict,eval_point_count,notes
balance,seed01,insufficient,rule1: eval 点数 0 < 10,,0,归档供鲁棒性测试，不删除
balance,seed02,insufficient,rule1: eval 点数 0 < 10,,0,归档供鲁棒性测试，不删除
full_chain,seed01,insufficient,"rule1: eval 点数 0 < 10;rule2: 训练规模 max(last_eval=0, total=None) < 500000",,0,归档供鲁棒性测试，不删除
full_chain,seed02,insufficient,"rule1: eval 点数 0 < 10;rule2: 训练规模 max(last_eval=0, total=None) < 500000",,0,归档供鲁棒性测试，不删除
full_chain_v1,seed00,insufficient,"rule1: eval 点数 4 < 10;rule2: 训练规模 max(last_eval=4000, total=None) < 500000",fail,4,归档供鲁棒性测试，不删除
traverse,seed02,insufficient,"rule1: eval 点数 0 < 10;rule2: 训练规模 max(last_eval=0, total=None) < 500000",fail,0,归档供鲁棒性测试，不删除
traverse_curve,seed01,insufficient,"rule1: eval 点数 0 < 10;rule2: 训练规模 max(last_eval=0, total=None) < 500000",,0,归档供鲁棒性测试，不删除
traverse_curve,seed02,insufficient,"rule1: eval 点数 0 < 10;rule2: 训练规模 max(last_eval=0, total=None) < 500000",,0,归档供鲁棒性测试，不删除
traverse_curve_dagger,seed00,anomalous,rule1: eval 点数 6 < 10;rule4: mean_reward 标准差 0.262 <= 1.0（曲线不可辨识）,fail,6,归档供鲁棒性测试，不删除
traverse_curve_dagger_ppo,seed00,insufficient,rule1: eval 点数 4 < 10,fail,4,归档供鲁棒性测试，不删除
traverse_curve_high_level,seed00,anomalous,"rule1: eval 点数 4 < 10;rule2: 训练规模 max(last_eval=200000, total=None) < 500000;rule4: mean_reward 标准差 0.190 <= 1.0（曲线不可辨识）",fail,4,归档供鲁棒性测试，不删除
traverse_curve_high_level,seed01,anomalous,"rule1: eval 点数 3 < 10;rule2: 训练规模 max(last_eval=150000, total=None) < 500000;rule4: mean_reward 标准差 0.696 <= 1.0（曲线不可辨识）",pass,3,归档供鲁棒性测试，不删除
traverse_curve_high_level_bplus,seed00,insufficient,"rule1: eval 点数 7 < 10;rule2: 训练规模 max(last_eval=350000, total=None) < 500000",pass,7,归档供鲁棒性测试，不删除
traverse_curve_junction,j1,anomalous,"rule1: eval 点数 5 < 10;rule2: 训练规模 max(last_eval=250000, total=None) < 500000;rule4: mean_reward 标准差 0.051 <= 1.0（曲线不可辨识）",pass,5,归档供鲁棒性测试，不删除
traverse_curve_junction,j3,anomalous,rule1: eval 点数 5 < 10;rule4: mean_reward 标准差 0.548 <= 1.0（曲线不可辨识）,pass,5,归档供鲁棒性测试，不删除
traverse_curve_multi_segment,m1,insufficient,"rule1: eval 点数 5 < 10;rule2: 训练规模 max(last_eval=250000, total=None) < 500000",pass,5,归档供鲁棒性测试，不删除
traverse_curve_multi_segment,m2,insufficient,rule1: eval 点数 5 < 10,pass,5,归档供鲁棒性测试，不删除
traverse_curve_multi_segment,m3,insufficient,rule1: eval 点数 5 < 10,pass,5,归档供鲁棒性测试，不删除
traverse_flat_slope,seed01,insufficient,"rule1: eval 点数 0 < 10;rule2: 训练规模 max(last_eval=0, total=None) < 500000",,0,归档供鲁棒性测试，不删除
traverse_flat_slope,seed02,insufficient,"rule1: eval 点数 0 < 10;rule2: 训练规模 max(last_eval=0, total=None) < 500000",,0,归档供鲁棒性测试，不删除
traverse_slope,seed01,insufficient,"rule1: eval 点数 0 < 10;rule2: 训练规模 max(last_eval=0, total=None) < 500000",,0,归档供鲁棒性测试，不删除
traverse_slope,seed02,insufficient,"rule1: eval 点数 0 < 10;rule2: 训练规模 max(last_eval=0, total=None) < 500000",,0,归档供鲁棒性测试，不删除
